account_ID,account,sector,year_established,revenue_in_mill,employees,office_location,subsidiary_of,business_type
IN038,Inity,marketing,1986,2403.58,8801,United States,,Large Enterprise & Corporation
IS039,Isdom,medical,2002,3178.24,4540,United States,,Large Enterprise & Corporation
IS040,Iselectrics,technolgy,2011,527.11,1428,United States,Acme Corporation,Mid-Market / Mid-Size Enterprise
J-041,J-Texon,retail,1989,1388.67,3583,United States,,Large Enterprise & Corporation
KA042,Kan-code,software,1982,11698.03,34288,United States,,Large Enterprise & Corporation
KI043,Kinnamplus,retail,2004,702.72,1831,United States,,Mid-Market / Mid-Size Enterprise
KO044,Konex,technolgy,1980,7708.38,13756,United States,,Large Enterprise & Corporation
KO045,Konmatfix,marketing,1985,375.43,1190,United States,,Mid-Market / Mid-Size Enterprise
LA046,Labdrill,medical,1985,2741.37,9226,United States,,Large Enterprise & Corporation
LE047,Lexiqvolax,medical,2004,1618.89,3889,United States,,Large Enterprise & Corporation
MA048,Massive Dynamic,entertainment,1989,665.06,1095,United States,,Mid-Market / Mid-Size Enterprise
MA049,Mathtouch,marketing,1984,3027.46,9516,Jordan,,Large Enterprise & Corporation
NA050,Nam-zim,services,1987,405.59,1179,Brazil,Warephase,Mid-Market / Mid-Size Enterprise
NE051,Newex,services,1991,1012.72,3492,Germany,,Large Enterprise & Corporation
ON052,Ontomedia,employment,1997,882.12,2769,United States,,Large Enterprise & Corporation
OP053,Opentech,finance,1994,355.23,853,United States,,Mid-Market / Mid-Size Enterprise
PL054,Plexzap,retail,2001,2437.85,4874,United States,,Large Enterprise & Corporation
PL055,Plusstrip,entertainment,2002,349.81,315,United States,,Mid-Market / Mid-Size Enterprise
PL056,Plussunin,retail,2003,1419.98,4018,United States,,Large Enterprise & Corporation
RA057,Rangreen,technolgy,1987,2938.67,8775,Panama,,Large Enterprise & Corporation
RA058,Rantouch,telecommunications,1994,1188.42,3015,United States,,Large Enterprise & Corporation
RO059,Ron-tech,medical,1992,3922.42,6837,United States,,Large Enterprise & Corporation
RU060,Rundofase,technolgy,1983,1008.06,1238,United States,,Mid-Market / Mid-Size Enterprise
SC061,Scotfind,software,1996,6354.87,16780,United States,Bubba Gump,Large Enterprise & Corporation
SC062,Scottech,marketing,2012,45.39,100,United States,Inity,Medium Business
SI063,Silis,medical,1994,2818.38,6290,United States,,Large Enterprise & Corporation
SI064,Singletechno,retail,1996,2214.94,5374,United States,,Large Enterprise & Corporation
SO065,Sonron,telecommunications,1999,1699.85,5108,United States,,Large Enterprise & Corporation
ST066,Stanredtax,finance,1987,1698.2,3798,United States,,Large Enterprise & Corporation
ST067,Statholdings,employment,1997,291.27,586,United States,,Mid-Market / Mid-Size Enterprise
ST068,Streethex,retail,1988,1376.8,1165,Belgium,,Mid-Market / Mid-Size Enterprise
SU069,Sumace,retail,2000,167.89,493,Romania,,Mid-Market / Mid-Size Enterprise
SU070,Sunnamplex,marketing,2008,894.37,1593,Poland,,Mid-Market / Mid-Size Enterprise
TH071,The New York Inquirer,medical,1996,439.21,792,United States,,Mid-Market / Mid-Size Enterprise
TO072,Toughzap,retail,1995,332.43,799,United States,,Mid-Market / Mid-Size Enterprise
TR073,Treequote,telecommunications,1988,5266.09,8595,United States,Sonron,Large Enterprise & Corporation
UM074,Umbrella Corporation,finance,1998,2022.14,5113,United States,,Large Enterprise & Corporation
VE075,Vehement Capital Partners,finance,1993,646.1,883,United States,Golddex,Mid-Market / Mid-Size Enterprise
WA076,Warephase,services,1997,2041.73,5276,United States,,Large Enterprise & Corporation
XX077,Xx-holding,finance,1993,7537.24,20293,United States,,Large Enterprise & Corporation
XX078,Xx-zobam,entertainment,1989,3838.39,8274,United States,,Large Enterprise & Corporation
Y-079,Y-corporation,employment,1983,2871.35,9561,United States,,Large Enterprise & Corporation
YE080,Yearin,retail,2005,2261.05,3851,United States,,Large Enterprise & Corporation
ZA081,Zathunicon,retail,2010,71.12,144,United States,,Medium Business
ZE082,Zencorporation,technolgy,2011,40.79,142,China,,Medium Business
ZO083,Zoomit,entertainment,1992,324.19,978,United States,,Mid-Market / Mid-Size Enterprise
ZO084,Zotware,software,1979,4478.47,13809,United States,,Large Enterprise & Corporation
ZU085,Zumgoity,medical,1984,441.08,1210,United States,,Mid-Market / Mid-Size Enterprise
